pitch,channel,on,off
53,0,50.74999986783854,50.87499986751302
54,0,50.87499986751302,50.9999998671875
56,0,50.9999998671875,51.12499986686198
57,0,51.12499986686198,51.249999866536456
53,1,51.249999866536456,51.499999865885414
56,0,51.249999866536456,51.374999866210935
57,0,51.374999866210935,51.499999865885414
53,1,51.499999865885414,51.74999986523437
59,0,51.499999865885414,51.62499986555989
65,0,51.62499986555989,51.74999986523437
53,1,51.74999986523437,51.99999986458333
56,0,51.74999986523437,51.87499986490885
57,0,51.87499986490885,51.99999986458333
53,1,51.99999986458333,52.249999863932295
59,0,51.99999986458333,52.124999864257816
65,0,52.124999864257816,52.249999863932295
53,1,52.249999863932295,52.49999986328125
56,0,52.249999863932295,52.374999863606774
57,0,52.374999863606774,52.49999986328125
59,0,52.49999986328125,52.62499986295573
68,0,52.62499986295573,52.74999986263021
49,1,52.74999986263021,52.99999986197917
65,0,52.74999986263021,52.87499986230469
61,0,52.87499986230469,52.99999986197917
49,1,52.99999986197917,53.24999986132813
71,0,52.99999986197917,53.12499986165365
68,0,53.12499986165365,53.24999986132813
49,1,53.24999986132813,53.499999860677086
69,0,53.24999986132813,53.37499986100261
66,0,53.37499986100261,53.499999860677086
49,1,53.499999860677086,53.749999860026044
65,0,53.499999860677086,53.624999860351565
68,0,53.624999860351565,53.749999860026044
49,1,53.749999860026044,53.999999859375
61,0,53.749999860026044,53.87499985970052
59,0,53.87499985970052,53.999999859375
42,1,53.999999859375,54.49999985807292
57,0,53.999999859375,54.12499985904948
61,0,54.12499985904948,54.24999985872396
57,0,54.24999985872396,54.37499985839844
54,0,54.37499985839844,54.49999985807292
66,0,54.49999985807292,54.6249998577474
63,0,54.6249998577474,54.74999985742188
54,1,54.74999985742188,54.999999856770835
64,0,54.74999985742188,54.874999857096356
61,0,54.874999857096356,54.999999856770835
56,1,54.999999856770835,55.24999985611979
60,0,54.999999856770835,55.124999856445314
63,0,55.124999856445314,55.24999985611979
48,1,55.24999985611979,55.49999985546875
56,0,55.24999985611979,55.37499985579427
54,0,55.37499985579427,55.49999985546875
49,1,55.49999985546875,55.99999985416667
52,0,55.49999985546875,55.62499985514323
56,0,55.62499985514323,55.74999985481771
