index,x,y,snippet,href
1916,4151.562,17.65,cis',textedit:///work/_3/m123_129.ly:19:36:37
1917,4154.065,18.15,b,textedit:///work/_3/m123_129.ly:19:48:49
1918,4156.547,18.65,a,textedit:///work/_3/m123_129.ly:19:62:63
1919,4159.3,17.65,cis',textedit:///work/_3/m123_129.ly:19:78:79
1920,4161.553,18.65,a,textedit:///work/_3/m123_129.ly:19:90:91
1921,4164.056,19.15,gis,textedit:///work/_3/m123_129.ly:19:102:103
1922,4166.559,19.65,fis,textedit:///work/_3/m123_129.ly:19:116:117
1923,4169.311,18.65,a,textedit:///work/_3/m123_129.ly:19:130:131
1924,4171.564,19.65,fis,textedit:///work/_3/m123_129.ly:19:142:143
1925,4174.067,20.15,e,textedit:///work/_3/m123_129.ly:19:154:155
1926,4177.924,20.65,dis,textedit:///work/_3/m123_129.ly:20:2:3
1927,4180.676,19.65,fis,textedit:///work/_3/m123_129.ly:20:24:25
1928,4183.429,28.794,b,textedit:///work/_3/m123_129.ly:30:28:29
1929,4183.429,18.65,a,textedit:///work/_3/m123_129.ly:20:36:37
1930,4186.057,29.294,a,textedit:///work/_3/m123_129.ly:30:40:41
1931,4186.057,17.65,cis',textedit:///work/_3/m123_129.ly:20:48:49
1932,4188.56,28.794,b,textedit:///work/_3/m123_129.ly:30:53:54
1933,4188.56,18.15,b,textedit:///work/_3/m123_129.ly:20:62:63
1934,4191.313,17.15,dis',textedit:///work/_3/m123_129.ly:20:78:79
1935,4194.065,30.294,fis,textedit:///work/_3/m123_129.ly:30:80:81
1936,4194.065,16.15,fis',textedit:///work/_3/m123_129.ly:20:90:91
1937,4196.818,15.15,a',textedit:///work/_3/m123_129.ly:20:102:103
1938,4199.321,31.294,dis,textedit:///work/_3/m123_129.ly:30:106:107
1939,4199.321,15.15,a',textedit:///work/_3/m123_129.ly:20:116:117
1940,4201.824,15.65,gis',textedit:///work/_3/m123_129.ly:20:130:131
1941,4204.327,32.294,"b,",textedit:///work/_3/m123_129.ly:30:132:133
1942,4204.327,15.15,a',textedit:///work/_3/m123_129.ly:20:142:143
1943,4206.579,16.15,fis',textedit:///work/_3/m123_129.ly:20:154:155
1944,4210.178,30.794,e,textedit:///work/_3/m123_129.ly:31:2:3
1945,4210.178,15.65,gis',textedit:///work/_3/m123_129.ly:21:2:3
1946,4212.43,16.65,e',textedit:///work/_3/m123_129.ly:21:24:25
1947,4215.183,31.794,cis,textedit:///work/_3/m123_129.ly:31:28:29
1948,4215.183,15.65,gis',textedit:///work/_3/m123_129.ly:21:36:37
1949,4217.936,14.65,b',textedit:///work/_3/m123_129.ly:21:48:49
1950,4220.689,33.294,"gis,",textedit:///work/_3/m123_129.ly:31:53:54
1951,4220.689,13.15,e'',textedit:///work/_3/m123_129.ly:21:62:63
1952,4222.942,14.65,b',textedit:///work/_3/m123_129.ly:21:78:79
1953,4225.194,32.794,"a,",textedit:///work/_3/m123_129.ly:31:80:81
1954,4225.194,15.65,gis',textedit:///work/_3/m123_129.ly:21:90:91
1955,4227.447,16.65,e',textedit:///work/_3/m123_129.ly:21:102:103
1956,4229.7,32.294,"b,",textedit:///work/_3/m123_129.ly:31:106:107
1957,4229.7,18.15,b,textedit:///work/_3/m123_129.ly:21:116:117
1958,4232.453,16.15,fis',textedit:///work/_3/m123_129.ly:21:130:131
1959,4235.206,32.294,"b,",textedit:///work/_3/m123_129.ly:31:132:133
1960,4235.206,13.15,e'',textedit:///work/_3/m123_129.ly:21:142:143
1961,4237.708,13.65,dis'',textedit:///work/_3/m123_129.ly:21:154:155
1962,4241.294,34.294,"e,",textedit:///work/_3/m130_133.ly:22:2:3
1963,4241.294,13.15,e'',textedit:///work/_3/m130_133.ly:13:6:7
1964,4243.547,14.65,b',textedit:///work/_3/m130_133.ly:13:16:17
1965,4245.799,15.65,gis',textedit:///work/_3/m130_133.ly:13:27:28
1966,4248.052,16.65,e',textedit:///work/_3/m130_133.ly:13:40:41
1967,4251.001,17.15,d',textedit:///work/_3/m130_133.ly:13:53:54
1968,4253.401,16.65,e',textedit:///work/_3/m130_133.ly:5:13:14
1969,4255.201,17.65,cis',textedit:///work/_3/m130_133.ly:13:76:77
1970,4257.001,16.65,e',textedit:///work/_3/m130_133.ly:5:19:20
1971,4258.801,17.15,d',textedit:///work/_3/m130_133.ly:13:100:101
1972,4260.601,16.65,e',textedit:///work/_3/m130_133.ly:5:24:25
1973,4262.401,18.15,b,textedit:///work/_3/m130_133.ly:13:126:127
1974,4264.201,16.65,e',textedit:///work/_3/m130_133.ly:5:29:30
1975,4267.963,34.294,"e,",textedit:///work/_3/m130_133.ly:23:2:3
1976,4267.963,17.65,cis',textedit:///work/_3/m130_133.ly:14:6:7
