index,x,y,snippet,href
781,1733.076,31.15,cis,textedit:///work/_1/m051_058.ly:55:7:8
782,1733.076,18.511,gis,textedit:///work/_1/m051_058.ly:5:15:16
783,1735.581,19.011,fis,textedit:///work/_1/m051_058.ly:5:19:20
784,1738.085,30.15,e,textedit:///work/_1/m051_058.ly:55:11:12
785,1738.085,19.511,e,textedit:///work/_1/m051_058.ly:5:25:26
786,1740.839,18.511,gis,textedit:///work/_1/m051_058.ly:5:31:32
787,1743.093,29.15,gis,textedit:///work/_1/m051_058.ly:55:13:14
788,1743.093,19.511,e,textedit:///work/_1/m051_058.ly:5:36:37
789,1745.597,20.011,dis,textedit:///work/_1/m051_058.ly:5:40:41
790,1748.102,27.65,cis',textedit:///work/_1/m051_058.ly:55:17:18
791,1748.102,20.511,cis,textedit:///work/_1/m051_058.ly:5:46:47
792,1750.856,19.511,e,textedit:///work/_1/m051_058.ly:5:52:53
793,1753.11,31.15,cis,textedit:///work/_1/m051_058.ly:55:22:23
794,1753.11,20.511,cis,textedit:///work/_1/m051_058.ly:5:56:57
795,1755.614,21.011,"b,",textedit:///work/_1/m051_058.ly:5:60:61
796,1760.608,29.65,fis,textedit:///work/_1/m051_058.ly:57:2:3
797,1760.608,21.511,"ais,",textedit:///work/_1/m051_058.ly:17:6:7
798,1763.008,19.011,fis,textedit:///work/_1/m051_058.ly:10:10:11
799,1765.763,17.011,cis',textedit:///work/_1/m051_058.ly:10:16:17
800,1768.017,19.011,fis,textedit:///work/_1/m051_058.ly:10:21:22
801,1770.771,16.011,e',textedit:///work/_1/m051_058.ly:10:27:28
802,1773.025,19.011,fis,textedit:///work/_1/m051_058.ly:10:32:33
803,1775.779,17.011,cis',textedit:///work/_1/m051_058.ly:10:37:38
804,1778.034,19.011,fis,textedit:///work/_1/m051_058.ly:10:42:43
805,1780.788,16.011,e',textedit:///work/_1/m051_058.ly:10:48:49
806,1783.042,19.011,fis,textedit:///work/_1/m051_058.ly:10:53:54
807,1785.796,17.011,cis',textedit:///work/_1/m051_058.ly:10:57:58
808,1788.05,19.011,fis,textedit:///work/_1/m051_058.ly:10:62:63
809,1793.031,33.15,"fis,",textedit:///work/_1/m051_058.ly:58:2:3
810,1793.031,21.511,"ais,",textedit:///work/_1/m051_058.ly:18:6:7
811,1795.431,19.011,fis,textedit:///work/_1/m051_058.ly:11:10:11
812,1798.186,17.011,cis',textedit:///work/_1/m051_058.ly:11:16:17
813,1800.44,19.011,fis,textedit:///work/_1/m051_058.ly:11:21:22
814,1803.194,16.011,e',textedit:///work/_1/m051_058.ly:11:27:28
815,1805.448,19.011,fis,textedit:///work/_1/m051_058.ly:11:32:33
816,1808.202,17.011,cis',textedit:///work/_1/m051_058.ly:11:37:38
817,1810.457,19.011,fis,textedit:///work/_1/m051_058.ly:11:42:43
818,1813.211,16.011,e',textedit:///work/_1/m051_058.ly:11:48:49
819,1815.465,19.011,fis,textedit:///work/_1/m051_058.ly:11:53:54
820,1818.219,17.011,cis',textedit:///work/_1/m051_058.ly:11:57:58
821,1820.473,19.011,fis,textedit:///work/_1/m051_058.ly:11:62:63
822,1824.304,21.011,"b,",textedit:///work/_1/m051_058.ly:31:6:7
823,1826.704,14.011,b',textedit:///work/_1/m051_058.ly:25:16:17
824,1830.058,31.65,"b,",textedit:///work/_1/m051_058.ly:60:6:7
825,1830.058,14.511,ais',textedit:///work/_1/m051_058.ly:25:24:25
826,1832.563,15.011,gis',textedit:///work/_1/m051_058.ly:25:34:35
